ag,Aguilar
sda0f,Sedgwick Fiction
sda0l,Sedgwick World Languages
sda0n,Sedgwick Non-Fiction
sda0v,Sedgwick Non-Print Media
sdar,Sedgwick Adult Reference
sdj,Sedgwick Children
sdj01,Sedgwick Children's Reference
sdj0a,Sedgwick Children's Easy Book
sdj0f,Sedgwick Children's Fiction
sdj0h,Sedgwick Children's Holiday Book
sdj0i,Sedgwick Children's Picture Book
sdj0l,Sedgwick Children's World Languages
sdj0n,Sedgwick Children's Non-Fiction
sdj0t,Sedgwick Children's Fairy Tale
sdj0v,Sedgwick Children's Non-Print Media
sdj0y,Sedgwick Children's Young Reader
sdjr,Sedgwick Children's Reference
sdy,Sedgwick Young Adult
sdy01,Sedgwick YA Reference
sdy0f,Sedgwick YA Fiction
sdy0l,Sedgwick YA World Languages
sdy0n,Sedgwick YA Non-Fiction
sdy0v,Sedgwick YA Non-Print Media
sdyr,Sedgwick Young Adult Reference
sdzzz,Sedgwick (error code)
se,Seward Park
sea,Seward Park Adult
sea01,Seward Park Reference
sea03,Seward Park Closed Shelf Reference
sea0f,Seward Park Fiction
sea0l,Seward Park World Languages
sea0n,Seward Park Non-Fiction
sea0v,Seward Park Non-Print Media
sea0w,Seward Park Center for Reading & Writing
sear,Seward Park Adult Reference
sej,Seward Park Children
sej01,Seward Park Children's Reference
sej0a,Seward Park Children's Easy Book
sej0f,Seward Park Children's Fiction
sej0h,Seward Park Children's Holiday Book
sej0i,Seward Park Children's Picture Book
sej0l,Seward Park Children's World Languages
sej0n,Seward Park Children's Non-Fiction
sej0t,Seward Park Children's Fairy Tale
sej0v,Seward Park Children's Non-Print Media
sej0y,Seward Park Children's Young Reader
sejr,Seward Park Children's Reference
sey,Seward Park Young Adult
sey01,Seward Park YA Reference
sey0f,Seward Park YA Fiction
sey0l,Seward Park YA World Languages
sey0n,Seward Park YA Non-Fiction
sey0v,Seward Park YA Non-Print Media
seyr,Seward Park Young Adult Reference
sezzz,Seward Park (error code)
sg,St. George
sga,St. George Adult
sga01,St. George Reference
sga03,St. George Closed Shelf Reference
sga0f,St. George Fiction
sga0l,St. George World Languages
sga0n,St. George Non-Fiction
sga0v,St. George Non-Print Media
sga0w,St. George Center for Reading & Writing
sgar,St. George Adult Reference
sgj,St. George Children
sgj01,St. George Children's Reference
sgj0a,St. George Children's Easy Book
sgj0f,St. George Children's Fiction
sgj0h,St. George Children's Holiday Book
sgj0i,St. George Children's Picture Book
sgj0l,St. George Children's World Languages
sgj0n,St. George Children's Non-Fiction
sgj0t,St. George Children's Fairy Tale
sgj0v,St. George Children's Non-Print Media
sgj0y,St. George Children's Young Reader
sgjr,St. George Children's Reference
sgy,St. George Young Adult
sgy01,St. George YA Reference
sgy0f,St. George YA Fiction
sgy0l,St. George YA World Languages
sgy0n,St. George YA Non-Fiction
sgy0v,St. George YA Non-Print Media
sgyr,St. George Young Adult Reference
sgzzz,St. George (error code)
sl,SIBL - Science Industry and Business
sla,SIBL - Adult
sla01,SIBL - Reference
sla0f,SIBL - Fiction
sla0n,SIBL - Non-Fiction
sla0v,SIBL - Non-Print Media
slafn,SIBL - Financial Literacy Central Non-Fiction
slaj1,SIBL - Job Search Central Reference
slajn,SIBL - Job Search Central Non-Fiction
slajv,SIBL - Job Search Central Non-Print Media
slar,SIBL - Adult Reference
sle,SIBL - Electronic Information Center
slee1,SIBL - Electronic Information Center
slr,SIBL - Science Industry and Business
slr12,SIBL - B. Altman Desk
slr22,SIBL - B. Altman Desk
slra3,SIBL - B. Altman Reference Desk
slrb1,SIBL - Reference
slrc3,SIBL - B. Altman Desk
slzzz,SIBL - (error code)
ss,67th Street
ssa,67th Street Adult
ssa01,67th Street Reference
ssa03,67th Street Closed Shelf Reference
ssa0f,67th Street Fiction
ssa0l,67th Street World Languages
ssa0n,67th Street Non-Fiction
ssa0v,67th Street Non-Print Media
ssar,67th Street Adult Reference
ssj,67th Street Children
ssj01,67th Street Children's Reference
ssj0a,67th Street Children's Easy Book
ssj0f,67th Street Children's Fiction
ssj0h,67th Street Children's Holiday Book
ssj0i,67th Street Children's Picture Book
ssj0l,67th Street Children's World Languages
ssj0n,67th Street Children's Non-Fiction
ssj0t,67th Street Children's Fairy Tale
ssj0v,67th Street Children's Non-Print Media
ssj0y,67th Street Children's Young Reader
ssjr,67th Street Children's Reference
ssy,67th Street Young Adult
ssy01,67th Street YA Reference
ssy0f,67th Street YA Fiction
ssy0l,67th Street YA World Languages
ssy0n,67th Street YA Non-Fiction
ssy0v,67th Street YA Non-Print Media
ssyr,67th Street Young Adult Reference
sszzz,67th Street (error code)
st,Stapleton
sta,Stapleton Adult
sta01,Stapleton Reference
sta03,Stapleton Closed Shelf Reference
sta0f,Stapleton Fiction
sta0l,Stapleton World Languages
sta0n,Stapleton Non-Fiction
sta0v,Stapleton Non-Print Media
star,Stapleton Adult Reference
stj,Stapleton Children
stj01,Stapleton Children's Reference
stj0a,Stapleton Children's Easy Book
stj0f,Stapleton Children's Fiction
stj0h,Stapleton Children's Holiday Book
stj0i,Stapleton Children's Picture Book
stj0l,Stapleton Children's World Languages
stj0n,Stapleton Children's Non-Fiction
stj0t,Stapleton Children's Fairy Tale
stj0v,Stapleton Children's Non-Print Media
stj0y,Stapleton Children's Young Reader
stjr,Stapleton Children's Reference
sty,Stapleton Young Adult
sty01,Stapleton YA Reference
sty0f,Stapleton YA Fiction
sty0l,Stapleton YA World Languages
sty0n,Stapleton YA Non-Fiction
sty0v,Stapleton YA Non-Print Media
styr,Stapleton Young Adult Reference
stzzz,Stapleton (error code)
sv,Soundview
sva,Soundview Adult
sva01,Soundview Reference
sva03,Soundview Closed Shelf Reference
sva0f,Soundview Fiction
sva0l,Soundview World Languages
sva0n,Soundview Non-Fiction
sva0v,Soundview Non-Print Media
svar,Soundview Adult Reference
svj,Soundview Children
svj01,Soundview Children's Reference
svj0a,Soundview Children's Easy Book
svj0f,Soundview Children's Fiction
svj0h,Soundview Children's Holiday Book
svj0i,Soundview Children's Picture Book
svj0l,Soundview Children's World Languages
svj0n,Soundview Children's Non-Fiction
svj0t,Soundview Children's Fairy Tale
svj0v,Soundview Children's Non-Print Media
svj0y,Soundview Children's Young Reader
svjr,Soundview Children's Reference
svy,Soundview Young Adult
svy01,Soundview YA Reference
svy0f,Soundview YA Fiction
svy0l,Soundview YA World Languages
svy0n,Soundview YA Non-Fiction
svy0v,Soundview YA Non-Print Media
svyr,Soundview Young Adult Reference
svzzz,Soundview (error code)
tg,Throg's Neck
tga,Throg's Neck Adult
tga01,Throg's Neck Reference
tga03,Throg's Neck Closed Shelf Reference
tga0f,Throg's Neck Fiction
tga0l,Throg's Neck World Languages
tga0n,Throg's Neck Non-Fiction
tga0v,Throg's Neck Non-Print Media
tgar,Throg's Neck Adult Reference
tgj,Throg's Neck Children
tgj01,Throg's Neck Children's Reference
tgj0a,Throg's Neck Children's Easy Book
tgj0f,Throg's Neck Children's Fiction
tgj0h,Throg's Neck Children's Holiday Book
tgj0i,Throg's Neck Children's Picture Book
tgj0l,Throg's Neck Children's World Languages
tgj0n,Throg's Neck Children's Non-Fiction
tgj0t,Throg's Neck Children's Fairy Tale
tgj0v,Throg's Neck Children's Non-Print Media
tgj0y,Throg's Neck Children's Young Reader
tgjr,Throg's Neck Children's Reference
tgy,Throg's Neck Young Adult
tgy01,Throg's Neck YA Reference
tgy0f,Throg's Neck YA Fiction
tgy0l,Throg's Neck YA World Languages
tgy0n,Throg's Neck YA Non-Fiction
tgy0v,Throg's Neck YA Non-Print Media
tgyr,Throg's Neck Young Adult Reference
tgzzz,Throg's Neck (error code)
th,Todt Hill-Westerleigh
tha,Todt Hill-Westerleigh Adult
tha01,Todt Hill-Westerleigh Reference
tha03,Todt Hill-Westerleigh Closed Shelf Reference
tha0f,Todt Hill-Westerleigh Fiction
tha0l,Todt Hill-Westerleigh World Languages
tha0n,Todt Hill-Westerleigh Non-Fiction
tha0v,Todt Hill-Westerleigh Non-Print Media
thar,Todt Hill-Westerleigh Adult Reference
thj,Todt Hill-Westerleigh Children
thj01,Todt Hill-Westerleigh Children's Reference
thj0a,Todt Hill-Westerleigh Children's Easy Book
thj0f,Todt Hill-Westerleigh Children's Fiction
thj0h,Todt Hill-Westerleigh Children's Holiday Book
thj0i,Todt Hill-Westerleigh Children's Picture Book
thj0l,Todt Hill-Westerleigh Children's World Languages
thj0n,Todt Hill-Westerleigh Children's Non-Fiction
thj0t,Todt Hill-Westerleigh Children's Fairy Tale
thj0v,Todt Hill-Westerleigh Children's Non-Print Media
thj0y,Todt Hill-Westerleigh Children's Young Reader
thjr,Todt Hill-Westerleigh Children's Reference
thy,Todt Hill-Westerleigh Young Adult Reference
thy01,Todt Hill-Westerleigh YA Reference
thy0f,Todt Hill-Westerleigh YA Fiction
thy0l,Todt Hill-Westerleigh YA World Languages
thy0n,Todt Hill-Westerleigh YA Non-Fiction
thy0v,Todt Hill-Westerleigh YA Non-Print Media
thyr,Todt Hill-Westerleigh Young Adult Reference
thzzz,Todt Hill-Westerleigh (error code)
tm,Tremont
tma,Tremont Adult
tma01,Tremont Reference
tma03,Tremont Closed Shelf Reference
tma0f,Tremont Fiction
tma0l,Tremont World Languages
tma0n,Tremont Non-Fiction
tma0v,Tremont Non-Print Media
tmar,Tremont Adult Reference
tmj,Tremont Children
tmj01,Tremont Children's Reference
tmj0a,Tremont Children's Easy Book
tmj0f,Tremont Children's Fiction
tmj0h,Tremont Children's Holiday Book
tmj0i,Tremont Children's Picture Book
tmj0l,Tremont Children's World Languages
tmj0n,Tremont Children's Non-Fiction
tmj0t,Tremont Children's Fairy Tale
tmj0v,Tremont Children's Non-Print Media
tmj0y,Tremont Children's Young Reader
tmjr,Tremont Children's Reference
tmy,Tremont Young Adult
tmy01,Tremont YA Reference
tmy0f,Tremont YA Fiction
tmy0l,Tremont YA World Languages
tmy0n,Tremont YA Non-Fiction
tmy0v,Tremont YA Non-Print Media
tmyr,Tremont Young Adult Reference
tmzzz,Tremont (error code)
tn,39th St - HR - Finance - Marketing
ts,Tompkins Square
tsa,Tompkins Square Adult
tsa01,Tompkins Square Reference
tsa03,Tompkins Square Closed Shelf Reference
tsa0f,Tompkins Square Fiction
tsa0l,Tompkins Square World Languages
tsa0n,Tompkins Square Non-Fiction
tsa0v,Tompkins Square Non-Print Media
tsa0w,Tompkins Square Center for Reading & Writing
tsar,Tompkins Square Adult Reference
tsj,Tompkins Square Children
tsj01,Tompkins Square Children's Reference
tsj0a,Tompkins Square Children's Easy Book
tsj0f,Tompkins Square Children's Fiction
tsj0h,Tompkins Square Children's Holiday Book
tsj0i,Tompkins Square Children's Picture Book
tsj0l,Tompkins Square Children's World Languages
tsj0n,Tompkins Square Children's Non-Fiction
tsj0t,Tompkins Square Children's Fairy Tale
tsj0v,Tompkins Square Children's Non-Print Media
tsj0y,Tompkins Square Children's Young Reader
tsjr,Tompkins Square Children's Reference
tsy,Tompkins Square Young Adult
tsy01,Tompkins Square YA Reference
tsy0f,Tompkins Square YA Fiction
tsy0l,Tompkins Square YA World Languages
tsy0n,Tompkins Square YA Non-Fiction
tsy0v,Tompkins Square YA Non-Print Media
tsyr,Tompkins Square Young Adult Reference
tszzz,Tompkins Square (error code)
tv,Tottenville
tva,Tottenville Adult
tva01,Tottenville Reference
tva03,Tottenville Closed Shelf Reference
tva0f,Tottenville Fiction
tva0l,Tottenville World Languages
tva0n,Tottenville Non-Fiction
tva0v,Tottenville Non-Print Media
tvar,Tottenville Adult Reference
tvj,Tottenville Children
tvj01,Tottenville Children's Reference
tvj0a,Tottenville Children's Easy Book
tvj0f,Tottenville Children's Fiction
tvj0h,Tottenville Children's Holiday Book
tvj0i,Tottenville Children's Picture Book
tvj0l,Tottenville Children's World Languages
tvj0n,Tottenville Children's Non-Fiction
tvj0t,Tottenville Children's Fairy Tale
tvj0v,Tottenville Children's Non-Print Media
tvj0y,Tottenville Children's Young Reader
tvjr,Tottenville Children's Reference
tvy,Tottenville Young Adult
tvy01,Tottenville YA Reference
tvy0f,Tottenville YA Fiction
tvy0l,Tottenville YA World Languages
tvy0n,Tottenville YA Non-Fiction
tvy0v,Tottenville YA Non-Print Media
tvyr,Tottenville Young Adult Reference
tvzzz,Tottenville (error code)
vc,Van Cortlandt
vca,Van Cortlandt Adult
vca01,Van Cortlandt Reference
vca03,Van Cortlandt Closed Shelf Reference
vca0f,Van Cortlandt Fiction
vca0l,Van Cortlandt World Languages
vca0n,Van Cortlandt Non-Fiction
vca0v,Van Cortlandt Non-Print Media
vcar,Van Cortlandt Adult Reference
vcj,Van Cortlandt Children
vcj01,Van Cortlandt Children's Reference
vcj0a,Van Cortlandt Children's Easy Book
vcj0f,Van Cortlandt Children's Fiction
vcj0h,Van Cortlandt Children's Holiday Book
vcj0i,Van Cortlandt Children's Picture Book
vcj0l,Van Cortlandt Children's World Languages
vcj0n,Van Cortlandt Children's Non-Fiction
vcj0t,Van Cortlandt Children's Fairy Tale
vcj0v,Van Cortlandt Children's Non-Print Media
vcj0y,Van Cortlandt Children's Young Reader
vcjr,Van Cortlandt Children's Reference
vcy,Van Cortlandt Young Adult
vcy01,Van Cortlandt YA Reference
vcy0f,Van Cortlandt YA Fiction
vcy0l,Van Cortlandt YA World Languages
vcy0n,Van Cortlandt YA Non-Fiction
vcy0v,Van Cortlandt YA Non-Print Media
vcyr,Van Cortlandt Young Adult Reference
vczzz,Van Cortlandt (error code)
vn,Van Nest
vna,Van Nest Adult
vna01,Van Nest Reference
vna03,Van Nest Closed Shelf Reference
vna0f,Van Nest Fiction
vna0l,Van Nest World Languages
vna0n,Van Nest Non-Fiction
vna0v,Van Nest Non-Print Media
vnar,Van Nest Adult Reference
vnj,Van Nest Children
vnj01,Van Nest Children's Reference
vnj0a,Van Nest Children's Easy Book
vnj0f,Van Nest Children's Fiction
vnj0h,Van Nest Children's Holiday Book
vnj0i,Van Nest Children's Picture Book
vnj0l,Van Nest World Languages
vnj0n,Van Nest Children's Non-Fiction
vnj0t,Van Nest Children's Fairy Tale
vnj0v,Van Nest Children's Non-Print Media
vnj0y,Van Nest Children's Young Reader
vnjr,Van Nest Children's Reference
vny,Van Nest Young Adult
vny01,Van Nest YA Reference
vny0f,Van Nest YA Fiction
vny0l,Van Nest YA World Languages
vny0n,Van Nest YA Non-Fiction
vny0v,Van Nest YA Non-Print Media
vnyr,Van Nest Young Adult Reference
vnzzz,Van Nest (error code)
wb,Webster
wba,Webster Adult
wba01,Webster Reference
wba03,Webster Closed Shelf Reference
wba0f,Webster Fiction
wba0l,Webster World Languages
wba0n,Webster Non-Fiction
wba0v,Webster Non-Print Media
wbar,Webster Adult Reference
wbj,Webster Children
wbj01,Webster Children's Reference
wbj0a,Webster Children's Easy Book
wbj0f,Webster Children's Fiction
wbj0h,Webster Children's Holiday Book
wbj0i,Webster Children's Picture Book
wbj0l,Webster Children's World Languages
wbj0n,Webster Children's Non-Fiction
wbj0t,Webster Children's Fairy Tale
wbj0v,Webster Children's Non-Print Media
wbj0y,Webster Children's Young Reader
wbjr,Webster Children's Reference
wby,Webster Young Adult
wby01,Webster YA Reference
wby0f,Webster YA Fiction
wby0l,Webster YA World Languages
wby0n,Webster YA Non-Fiction
wby0v,Webster YA Non-Print Media
wbyr,Webster Young Adult Reference
wbzzz,Webster (error code)
wf,West Farms
wfa,West Farms Adult
wfa01,West Farms Reference
wfa03,West Farms Closed Shelf Reference
wfa0f,West Farms Fiction
wfa0l,West Farms World Languages
wfa0n,West Farms Non-Fiction
wfa0v,West Farms Non-Print Media
wfar,West Farms Adult Reference
wfj,West Farms Children
wfj01,West Farms Children's Reference
wfj0a,West Farms Children's Easy Book
wfj0f,West Farms Children's Fiction
wfj0h,West Farms Children's Holiday Book
wfj0i,West Farms Children's Picture Book
wfj0l,West Farms Children's World Languages
wfj0n,West Farms Children's Non-Fiction
wfj0t,West Farms Children's Fairy Tale
wfj0v,West Farms Children's Non-Print Media
wfj0y,West Farms Children's Young Reader
wfjr,West Farms Children's Reference
wfy,West Farms Young Adult
wfy01,West Farms YA Reference
wfy0f,West Farms YA Fiction
wfy0l,West Farms YA World Languages
wfy0n,West Farms YA Non-Fiction
wfy0v,West Farms YA Non-Print Media
wfyr,West Farms Young Adult Reference
wfzzz,West Farms (error code)
wh,Washington Heights
wha,Washington Heights Adult
wha01,Washington Heights Reference
wha03,Washington Heights Closed Shelf Reference
wha0f,Washington Heights Fiction
wha0l,Washington Heights World Languages
wha0n,Washington Heights Non-Fiction
wha0v,Washington Heights Non-Print Media
whar,Washington Heights Adult Reference
whj,Washington Heights Children
whj01,Washington Heights Children's Reference
whj0a,Washington Heights Children's Easy Book
whj0f,Washington Heights Children's Fiction
whj0h,Washington Heights Children's Holiday Book
whj0i,Washington Heights Children's Picture Book
whj0l,Washington Heights Children's World Languages
whj0n,Washington Heights Children's Non-Fiction
whj0t,Washington Heights Children's Fairy Tale
whj0v,Washington Heights Children's Non-Print Media
whj0y,Washington Heights Children's Young Reader
whjr,Washington Heights Children's Reference
why,Washington Heights Young Adult
why01,Washington Heights YA Reference
why0f,Washington Heights YA Fiction
why0l,Washington Heights YA World Languages
why0n,Washington Heights YA Non-Fiction
why0v,Washington Heights YA Non-Print Media
whyr,Washington Heights Young Adult Reference
whzzz,Washington Heights
wk,Wakefield
wka,Wakefield Adult
wka01,Wakefield Reference
wka03,Wakefield Closed Shelf Reference
wka0f,Wakefield Fiction
wka0l,Wakefield World Languages
wka0n,Wakefield Non-Fiction
wka0v,Wakefield Non-Print Media
wka0w,Wakefield Center for Reading & Writing
wkar,Wakefield Adult Reference
wkj,Wakefield Children
wkj01,Wakefield Children's Reference
wkj0a,Wakefield Children's Easy Book
wkj0f,Wakefield Children's Fiction
wkj0h,Wakefield Children's Holiday Book
wkj0i,Wakefield Children's Picture Book
wkj0l,Wakefield Children's World Languages
wkj0n,Wakefield Children's Non-Fiction
wkj0t,Wakefield Children's Fairy Tale
wkj0v,Wakefield Children's Non-Print Media
wkj0y,Wakefield Children's Young Reader
wkjr,Wakefield Children's Reference
wky,Wakefield Young Adult
wky01,Wakefield YA Reference
wky0f,Wakefield YA Fiction
wky0l,Wakefield YA World Languages
wky0n,Wakefield YA Non-Fiction
wky0v,Wakefield YA Non-Print Media
wkyr,Wakefield Young Adult Reference
wkzzz,Wakefield (error code)
wl,Woodlawn Heights
wla,Woodlawn Heights Adult
wla01,Woodlawn Heights Reference
wla03,Woodlawn Heights Closed Shelf Reference
wla0f,Woodlawn Heights Fiction
wla0l,Woodlawn Heights World Languages
wla0n,Woodlawn Heights Non-Fiction
wla0v,Woodlawn Heights Non-Print Media
wlar,Woodlawn Heights Adult Reference
wlj,Woodlawn Heights Children
wlj01,Woodlawn Heights Children's Reference
wlj0a,Woodlawn Heights Children's Easy Book
wlj0f,Woodlawn Heights Children's Fiction
wlj0h,Woodlawn Heights Children's Holiday Book
wlj0i,Woodlawn Heights Children's Picture Book
wlj0l,Woodlawn Heights Children's World Languages
wlj0n,Woodlawn Heights Children's Non-Fiction
wlj0t,Woodlawn Heights Children's Fairy Tale
wlj0v,Woodlawn Heights Children's Non-Print Media
wlj0y,Woodlawn Heights Children's Young Reader
wljr,Woodlawn Heights Children's Reference
wly,Woodlawn Heights Young Adult
wly01,Woodlawn Heights YA Reference
wly0f,Woodlawn Heights YA Fiction
wly0l,Woodlawn Heights YA World Languages
wly0n,Woodlawn Heights YA Non-Fiction
wly0v,Woodlawn Heights YA Non-Print Media
wlyr,Woodlawn Heights Young Adult Reference
wlzzz,Woodlawn Heights
wo,Woodstock
woa,Woodstock Adult
woa01,Woodstock Reference
woa03,Woodstock Closed Shelf Reference
woa0f,Woodstock Fiction
woa0l,Woodstock World Languages
woa0n,Woodstock Non-Fiction
woa0v,Woodstock Non-Print Media
woar,Woodstock Adult Reference
woj,Woodstock Children
woj01,Woodstock Children's Reference
woj0a,Woodstock Children's Easy Book
woj0f,Woodstock Children's Fiction
woj0h,Woodstock Children's Holiday Book
woj0i,Woodstock Children's Picture Book
woj0l,Woodstock Children's World Languages
woj0n,Woodstock Children's Non-Fiction
woj0t,Woodstock Children's Fairy Tale
woj0v,Woodstock Children's Non-Print Media
woj0y,Woodstock Children's Young Reader
wojr,Woodstock Children's Reference
woy,Woodstock Young Adult
woy01,Woodstock YA Reference
woy0f,Woodstock YA Fiction
woy0l,Woodstock YA World Languages
woy0n,Woodstock YA Non-Fiction
woy0v,Woodstock YA Non-Print Media
woyr,Woodstock Young Adult Reference
wozzz,Woodstock (error code)
wt,Westchester Square
wta,Westchester Square Adult
wta01,Westchester Square Reference
wta03,Westchester Square Closed Shelf Reference
wta0f,Westchester Square Fiction
wta0l,Westchester Square World Languages
wta0n,Westchester Square Non-Fiction
wta0v,Westchester Square Non-Print Media
wtar,Westchester Square Adult Reference
wtj,Westchester Square Children
wtj01,Westchester Square Children's Reference
wtj0a,Westchester Square Children's Easy Book
wtj0f,Westchester Square Children's Fiction
wtj0h,Westchester Square Children's Holiday Book
wtj0i,Westchester Square Children's Picture Book
wtj0l,Westchester Square Children's World Languages
wtj0n,Westchester Square Children's Non-Fiction
wtj0t,Westchester Square Children's Fairy Tale
wtj0v,Westchester Square Children's Non-Print Media
wtj0y,Westchester Square Children's Young Reader
wtjr,Westchester Square Children's Reference
wty,Westchester Square Young Adult
wty01,Westchester Square YA Reference
wty0f,Westchester Square YA Fiction
wty0l,Westchester Square YA World Languages
wty0n,Westchester Square YA Non-Fiction
wty0v,Westchester Square YA Non-Print Media
wtyr,Westchester Square Young Adult Reference
wtzzz,Westchester Square (error code)
xfill,Inter-Library Loan
yv,Yorkville
yva,Yorkville Adult
yva01,Yorkville Reference
yva03,Yorkville Closed Shelf Reference
yva0f,Yorkville Fiction
yva0l,Yorkville World Languages
yva0n,Yorkville Non-Fiction
yva0v,Yorkville Non-Print Media
yvar,Yorkville Adult Reference
yvj,Yorkville Children
yvj01,Yorkville Children's Reference
yvj0a,Yorkville Children's Easy Book
yvj0f,Yorkville Children's Fiction
yvj0h,Yorkville Children's Holiday Book
yvj0i,Yorkville Children's Picture Book
yvj0l,Yorkville Children's World Languages
yvj0n,Yorkville Children's Non-Fiction
yvj0t,Yorkville Children's Fairy Tale
yvj0v,Yorkville Children's Non-Print Media
yvj0y,Yorkville Children's Young Reader
yvjr,Yorkville Children's Reference
yvy,Yorkville Young Adult
yvy01,Yorkville YA Reference
yvy0f,Yorkville YA Fiction
yvy0l,Yorkville YA World Languages
yvy0n,Yorkville YA Non-Fiction
yvy0v,Yorkville YA Non-Print Media
yvyr,Yorkville Young Adult Reference
yvzzz,Yorkville (error code)
